3,1Time Airline,South Africa
10,40-Mile Air,United States
13,Ansett Australia,Australia
14,Abacus International,Singapore
21,Aigle Azur,France
22,Aloha Airlines,United States
24,American Airlines,United States
28,Asiana Airlines,Republic of Korea
29,Askari Aviation,Pakistan
32,Afriqiyah Airways,Libya
35,Allegiant Air,United States
39,Aban Air,Iran
42,ABSA - Aerolinhas Brasileiras,Brazil
55,Astral Aviation,Kenya
68,Air Tindi,Canadian Territories
72,Ada Air,Albania
83,Adria Airways,Slovenia
90,Air Europa,Spain
93,Aero Benin,Benin
96,Aegean Airlines,Greece
106,Air Europe,Italy
109,Alaska Central Express,United States
110,ACES Colombia,Colombia
112,Astraeus,United Kingdom
114,Aerosvit Airlines,Ukraine
116,Air Italy,Italy
120,Alliance Airlines,Australia
125,Ariana Afghan Airlines,Afghanistan
130,Aeroflot Russian Airlines,Russia
132,Air Bosna,Bosnia and Herzegovina
137,Air France,France
139,Air Caledonie International,France
146,Air Salone,Sierra Leone
149,Air Cargo Carriers,United States
153,Air Namibia,Namibia
165,Aerolitoral,Mexico
174,Air Glaciers,Switzerland
176,Aviogenex,Serbia
179,Aeroper,Peru
180,Atlas Blue,Morocco
197,Azerbaijan Airlines,Azerbaijan
198,Avies,Estonia
208,Airblue,Pakistan
210,Airlift International,United States
214,Air Berlin,Germany
218,Air India Limited,India
220,Air Bourbon,Reunion
221,Air Atlanta Icelandic,Iceland
225,Air Tahiti Nui,France
231,Arkia Israel Airlines,Israel
239,Air Jamaica,Jamaica
240,Air One,Italy
241,Air Sahara,India
242,Air Malta,Malta
250,Air Japan,Japan
252,Air Korea Co. Ltd.,Republic of Korea
263,Air Kiribati,Kiribati
281,America West Airlines,United States
282,Air Wisconsin,United States
286,Tatarstan Airlines,Russia
287,Allegheny Commuter Airlines,United States
295,Air Sunshine,United States
299,Air Libert,France
306,Air Malawi,Malawi
312,Air Sicilia,Italy
315,ATA Airlines,United States
316,Air Macau,Macao
317,AMC Airlines,Egypt
319,Air Seychelles,Seychelles
321,AeroMéxico,Mexico
324,All Nippon Airways,Japan
327,Air Nostrum,Spain
328,Air Niugini,Papua New Guinea
329,Air Arabia,United Arab Emirates
330,Air Canada,Canada
333,Air Baltic,Latvia
336,Air Nippon,Japan
338,Airnorth,Australia
341,Air North Charter - Canada,Canada
345,Air New Zealand,New Zealand
371,Alitalia Express,Italy
386,Aero Flight,Germany
397,Arrow Air,United States
