"Aerospatiale (Nord) 262","ND2"
"Aerospatiale (Sud Aviation) Se.210 Caravelle","CRV"
"Aerospatiale SN.601 Corvette","NDC"
"Aerospatiale/Alenia ATR 42-300","AT4"
"Aerospatiale/Alenia ATR 42-500","AT5"
"Aerospatiale/Alenia ATR 42-600","ATR"
"Aerospatiale/Alenia ATR 72","AT7"
"Airbus A300","AB3"
"Airbus A300-600","AB6"
"Airbus A300-600ST Super Transporter / Beluga","ABB"
"Airbus A310","310"
"Airbus A318","318"
"Airbus A319","319"
"Airbus A319neo","31N"
"Airbus A320","320"
"Airbus A320neo","32N"
"Airbus A321","321"
"Airbus A321neo","32Q"
"Airbus A330","330"
"Airbus A330-200","332"
"Airbus A330-300","333"
"Airbus A330-700 Beluga XL",\N
"Airbus A330-800neo","338"
"Airbus A330-900neo","339"
"Airbus A340","340"
"Airbus A340-200","342"
"Airbus A340-300","343"
"Airbus A340-500","345"
"Airbus A340-600","346"
"Airbus A350","350"
"Airbus A350-1000","351"
"Airbus A350-900","359"
"Airbus A380","380"
"Airbus A380-800","388"
"Antonov AN-12","ANF"
"Antonov AN-124 Ruslan","A4F"
"Antonov AN-140","A40"
"Antonov An-148","A81"
"Antonov An-158","A58"
"Antonov An-225 Mriya","A25"
"Antonov AN-24","AN4"
"Antonov AN-26","A26"
"Antonov AN-28","A28"
"Antonov AN-30","A30"
"Antonov AN-32","A32"
"Antonov AN-72","AN7"
"Avro RJ100","AR1"
"Avro RJ70","AR7"
"Avro RJ85","AR8"
"BAe 146","146"
"BAe 146-100","141"
"BAe 146-200","142"
"BAe 146-300","143"
"Beechcraft 1900","BEH"
"Beechcraft Baron",\N
"Beechcraft Baron / 55 Baron",\N
"Bell 212","BH2"
"Boeing 707","703"
"Boeing 717","717"
"Boeing 720B","B72"
"Boeing 727","727"
"Boeing 727-100","721"
"Boeing 727-200","722"
"Boeing 737","737"
"Boeing 737 MAX 10","7MJ"
"Boeing 737 MAX 7","7M7"
"Boeing 737 MAX 8","7M8"
"Boeing 737 MAX 9","7M9"
"Boeing 737-200","732"
"Boeing 737-300","733"
"Boeing 737-400","734"
"Boeing 737-500","735"
"Boeing 737-600","736"
"Boeing 737-700","73G"
"Boeing 737-800","738"
"Boeing 737-900","739"
"Boeing 747","747"
"Boeing 747 LCF Dreamlifter","74B"
"Boeing 747-100","741"
"Boeing 747-200","742"
"Boeing 747-300","743"
"Boeing 747-400","744"
"Boeing 747-400D","74J"
"Boeing 747-8","748"
"Boeing 747SP","74L"
"Boeing 747SR","74R"
"Boeing 757","757"
"Boeing 757-200","752"
"Boeing 757-300","753"
"Boeing 767","767"
"Boeing 767-200","762"
"Boeing 767-300","763"
"Boeing 767-400","764"
"Boeing 777","777"
"Boeing 777-200","772"
"Boeing 777-200LR","77L"
"Boeing 777-300","773"
"Boeing 777-300ER","77W"
"Boeing 777-8","778"
"Boeing 777-9","779"
"Boeing 787","787"
"Boeing 787-10","78J"
"Boeing 787-8","788"
"Boeing 787-9","789"
"Bombardier 415",\N
"Bombardier BD-100 Challenger 300",\N
"Bombardier CS100","CS1"
"Bombardier CS300","CS3"
"Bombardier Global Express","CCX"
"British Aerospace (BAC) One Eleven","B11"
"British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900","H25"
"British Aerospace 125-1000 series / Hawker/Raytheon 1000","H25"
"British Aerospace ATP","ATP"
"British Aerospace Jetstream 31","J31"
"British Aerospace Jetstream 32","J32"
"British Aerospace Jetstream 41","J41"
"Canadair Challenger","CCJ"
"Canadair CL-44","CL4"
"Canadair Regional Jet 100","CR1"
"Canadair Regional Jet 1000","CRK"
"Canadair Regional Jet 200","CR2"
"Canadair Regional Jet 700","CR7"
"Canadair Regional Jet 900","CR9"
"Cessna 152",\N
"Cessna 172","CN1"
"Cessna 182 Skylane","CN1"
"Cessna 208 Caravan","CN1"
"Cessna 210 Centurion","CN1"
"Cessna Citation CJ3","CNJ"
"Cessna Citation CJ4","CNJ"
"Cessna Citation Excel","CNJ"
"Cessna Citation I","CNJ"
"Cessna Citation II","CNJ"
"Cessna Citation Mustang","CNJ"
"Cessna Citation Sovereign","CNJ"
"Cessna Citation X","CNJ"
"COMAC C-919",\N
"Concorde","SSC"
"Dassault Falcon 2000","D20"
"Dassault Falcon 50","DF3"
"Dassault Falcon 7X","DF7"
